,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
4657,9,3,H,4069,1.0,307995.281472,2394156.774976,308005.707072,2394141.0792,1.0,308000.494272,2394148.927088,18.842784,2.555279,HO,1,0,0,0,1,0
4666,9,3,H,4153,1.0,308232.981664,2394183.737504,308244.124608,2394191.498624,1.0,308238.553136,2394187.618064,13.579403,0.96242,HO,1,0,0,0,1,0
4667,9,3,H,4154,1.0,308244.124608,2394191.498624,308270.125472,2394200.2432,1.0,308257.12504,2394195.870912,27.431962,1.246361,HV,1,0,0,0,1,0
4668,9,3,H,4155,1.0,308270.125472,2394200.2432,308288.811328,2394211.75216,1.0,308279.4684,2394205.99768,21.945783,1.018754,HO,1,0,0,0,1,0
4683,9,3,H,4409,0.0,308851.218273,2394359.754785,308946.408001,2394391.502945,1.0,308898.813137,2394375.628865,100.344556,1.248873,HV,1,0,0,0,1,0
4685,9,3,H,4430,1.0,307948.532064,2394276.747137,307960.095712,2394292.752065,1.0,307954.313888,2394284.749601,19.74527,0.625671,HO,1,0,0,0,1,0
4686,9,3,H,4431,1.0,307960.095712,2394292.752065,308003.407808,2394397.743521,1.0,307981.75176,2394345.247793,113.574396,0.391261,HO,1,0,0,0,1,0
4700,9,3,H,4519,1.0,308017.832832,2394432.775521,308023.591136,2394431.009217,1.0,308020.711984,2394431.892369,6.023113,1.868425,HV,1,0,0,0,1,0
4702,9,3,H,4548,1.0,308699.31072,2394441.002113,308713.84432,2394441.002113,1.0,308706.57752,2394441.002113,14.5336,1.570796,HV,1,0,0,0,1,0
4703,9,3,H,4553,1.0,307965.842944,2394490.253825,308030.686912,2394464.005601,1.0,307998.264928,2394477.129713,69.955053,1.955426,HO,1,0,0,0,1,0
4704,9,3,H,4554,1.0,307977.406752,2394493.005665,308030.810624,2394474.248929,1.0,308004.108688,2394483.627297,56.60202,1.908561,HV,1,0,0,0,1,0
4705,9,3,H,4555,1.0,308030.810624,2394474.248929,308037.9056,2394467.002625,1.0,308034.358112,2394470.625777,10.141381,2.366746,HO,1,0,0,0,1,0
4711,9,3,H,4623,1.0,308072.15488,2394537.820385,308067.913504,2394516.434529,1.0,308070.034192,2394527.127457,21.802388,0.195786,HP,1,0,0,0,1,0
4712,9,3,H,4633,1.0,308563.409056,2394505.995649,308582.657792,2394548.002881,1.0,308573.033424,2394526.999265,46.207374,0.429672,HO,1,0,0,0,1,0
