,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
2212,6,2,H,7386,1.0,307120.700127,2396760.478339,307153.657823,2396740.252643,1.0,307137.178975,2396750.365491,38.66896,2.121219,HO,0,1,0,1,0,0
2242,6,2,H,8282,1.0,307462.656415,2397534.755812,307462.532703,2397520.24954,1.0,307462.594559,2397527.502676,14.5068,0.008528,HP,0,1,0,1,0,0
2246,6,2,H,13334,1.0,307245.117087,2397168.128675,307279.068575,2397155.519299,1.0,307262.092831,2397161.823987,36.217398,1.926402,HO,0,1,0,1,0,0
2256,6,2,H,14555,1.0,307302.850975,2397306.847715,307334.467199,2397295.000867,1.0,307318.659087,2397300.924291,33.7629,1.929311,HO,1,1,0,1,1,0
2276,6,3,H,7423,1.0,308034.68816,2396781.254531,308048.579104,2396745.092035,1.0,308041.633632,2396763.173283,38.738669,2.774845,HO,1,1,1,1,0,0
2280,6,3,H,7506,1.0,308141.248224,2396859.506691,308149.8424,2396840.997027,1.0,308145.545312,2396850.251859,20.407536,2.706905,HO,1,1,0,1,0,0
2281,6,3,H,7507,1.0,308149.8424,2396840.997027,308163.308992,2396830.065763,1.0,308156.575696,2396835.531395,17.344787,2.25265,HO,1,1,1,1,0,0
2285,6,3,H,7591,1.0,308251.526912,2396943.812579,308285.797088,2396911.749251,1.0,308268.662,2396927.780915,46.930821,2.322938,HO,1,1,1,1,0,0
2312,6,3,H,13352,1.0,308080.062336,2396747.251203,308081.561024,2396728.496323,1.0,308080.81168,2396737.873763,18.814664,3.061853,HP,0,1,0,1,0,0
2319,6,3,H,14731,1.0,308344.497536,2397005.835683,308334.898821,2396955.134613,1.0,308339.698178,2396980.485148,51.601684,0.187105,HP,0,1,0,1,0,0
2331,6,4,H,7333,1.0,309194.343809,2396703.994147,309250.342209,2396712.347619,1.0,309222.343009,2396708.170883,56.61803,1.422715,HV,0,1,0,1,0,0
2344,6,4,H,7541,1.0,309374.504577,2396908.310179,309409.156545,2396890.248739,1.0,309391.830561,2396899.279459,39.076521,2.051279,HO,0,1,0,1,0,0
2351,6,4,H,7618,1.0,309392.591681,2396964.268835,309399.534785,2396953.939363,1.0,309396.063233,2396959.104099,12.446071,2.549794,HO,0,1,0,1,0,0
2352,6,4,H,7619,1.0,309399.534785,2396953.939363,309398.159937,2396940.649539,1.0,309398.847361,2396947.294451,13.36075,0.103084,HP,0,1,0,1,0,0
2354,6,4,H,7625,1.0,309372.600129,2396908.750467,309325.186625,2396908.756259,1.0,309348.893377,2396908.753363,47.413504,1.570918,HV,0,1,0,1,0,0
2367,6,4,H,7644,1.0,309183.689697,2396934.921187,309153.558433,2396916.246691,1.0,309168.624065,2396925.583939,35.448976,1.015966,HO,0,1,0,1,0,0
2371,6,4,H,7750,1.0,309199.623393,2397039.750051,309246.243521,2397051.321699,1.0,309222.933457,2397045.535875,48.034773,1.327502,HV,0,1,0,1,0,0
2374,6,4,H,7794,1.0,309348.647713,2397105.464131,309331.710817,2397080.421859,1.0,309340.179265,2397092.942995,30.232,0.594664,HO,0,1,0,1,0,0
2382,6,4,H,7854,1.0,309415.917921,2397164.056067,309433.790433,2397147.672931,1.0,309424.854177,2397155.864499,24.245285,2.312744,HO,0,1,0,1,0,0
2384,6,4,H,7856,1.0,309450.631841,2397143.319395,309470.452001,2397142.059139,1.0,309460.541921,2397142.689267,19.860186,1.634295,HV,0,1,0,1,0,0
2388,6,4,H,7915,1.0,309472.514209,2397142.746563,309505.051393,2397190.406627,1.0,309488.782801,2397166.576595,57.707452,0.599016,HO,0,1,0,1,0,0
2390,6,4,H,7917,1.0,309526.360737,2397196.964419,309520.969697,2397174.497731,1.0,309523.665217,2397185.731075,23.104445,0.235504,HP,0,1,0,1,0,0
2391,6,4,H,7924,1.0,309322.533025,2397181.743683,309339.891265,2397208.438211,1.0,309331.212145,2397195.090947,31.841896,0.576554,HO,0,1,0,1,0,0
2393,6,4,H,7936,1.0,309063.059297,2397215.499139,309069.688481,2397188.756611,1.0,309066.373889,2397202.127875,27.551931,2.898602,HP,0,1,0,1,0,0
2394,6,4,H,7942,1.0,308979.874177,2397219.506755,308980.676129,2397217.329955,1.0,308980.275153,2397218.418355,2.319824,2.788613,HO,0,1,0,1,0,0
2401,6,4,H,7961,1.0,309103.019937,2397224.992963,309105.561505,2397199.756387,1.0,309104.290721,2397212.374675,25.364233,3.041221,HP,0,1,0,1,0,0
2404,6,4,H,8023,1.0,309613.313185,2397261.244995,309600.938337,2397244.745315,1.0,309607.125761,2397252.995155,20.624653,0.643505,HO,1,1,0,1,1,0
2408,6,4,H,8045,1.0,309232.622529,2397281.251395,309241.087969,2397244.711587,1.0,309236.855249,2397262.981491,37.507616,2.913932,HP,1,1,0,1,0,0
2414,6,4,H,8104,1.0,309243.379329,2397243.909603,309254.263201,2397264.531747,1.0,309248.821265,2397254.220675,23.318051,0.485621,HO,1,1,0,1,1,0
2416,6,4,H,8110,1.0,309241.087969,2397244.711587,309252.092449,2397264.751971,1.0,309246.590209,2397254.731779,22.862974,0.502164,HO,1,1,0,1,1,0
2436,6,4,H,13397,0.0,309906.499458,2397537.50602,309934.33565,2397523.912484,0.0,309920.417554,2397530.709252,30.978021,2.025073,HO,0,1,0,1,0,0
2476,6,5,H,7970,1.0,310742.940002,2397207.742851,310747.420898,2397226.953635,1.0,310745.18045,2397217.348243,19.726445,0.229152,HP,0,1,0,1,0,0
2491,6,5,H,13444,1.0,310891.388899,2397412.391459,310863.718754,2397433.749987,1.0,310877.553826,2397423.070723,34.954594,2.228165,HO,0,1,0,1,0,0
2544,6,6,H,7646,1.0,311046.456931,2396962.998403,311075.436227,2396971.001251,1.0,311060.946579,2396966.999827,30.064018,1.301354,HV,1,1,0,1,1,0
2554,6,6,H,7827,1.0,311185.955107,2397129.268291,311182.089795,2397117.656259,1.0,311184.022451,2397123.462275,12.238461,0.321335,HP,0,1,0,1,0,0
2582,6,6,H,8151,1.0,311106.704419,2397314.597731,311133.971459,2397339.458851,1.0,311120.337939,2397327.028291,36.899414,0.831519,HO,0,1,0,1,0,0
2583,6,6,H,8152,1.0,311133.971459,2397339.458851,311136.491939,2397359.393603,1.0,311135.231699,2397349.426227,20.093461,0.125769,HP,0,1,0,1,0,0
2584,6,6,H,8153,1.0,311136.491939,2397359.393603,311126.180899,2397371.079491,1.0,311131.336419,2397365.236547,15.584528,2.418615,HO,0,1,0,1,0,0
2586,6,6,H,8155,1.0,311126.269827,2397382.218659,311133.742339,2397393.763843,1.0,311130.006083,2397387.991251,13.752444,0.574433,HO,1,1,1,1,0,0
2598,6,6,H,13431,1.0,311015.737859,2397023.481827,311019.747683,2397000.682915,1.0,311017.742771,2397012.082371,23.148846,2.967495,HP,0,1,0,1,0,0
2601,6,6,H,13434,1.0,311104.183939,2397241.045411,311112.891043,2397233.713091,1.0,311108.537491,2397237.379251,11.383171,2.270691,HO,0,1,0,1,0,0
2609,6,6,H,13455,1.0,311148.631971,2397517.708964,311167.312259,2397511.752292,1.0,311157.972115,2397514.730628,19.607017,1.879478,HV,1,1,0,1,1,0
2637,6,7,H,7456,1.0,312381.966884,2396803.007171,312421.93882,2396810.844643,1.0,312401.952852,2396806.925907,40.733053,1.377178,HV,1,1,0,1,1,0
2655,6,7,H,7757,1.0,312663.450788,2397063.351459,312664.593636,2397035.748835,1.0,312664.022212,2397049.550147,27.626273,3.100213,HP,1,1,1,1,0,0
