field_1,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal
"914","2","5",H,"10335",1,309953.010146,2400822.080359,309954.383586,2400811.090791,1,309953.696866,2400816.585575,11.075059,3.017261,HP,"1","1","1",
"915","2","5",H,"10344",1,309955.072578,2400821.975143,309975.593986,2400888.016103,1,309965.333282,2400854.995623,69.155886,0.301278,HP,"1","1","0",
"923","2","5",H,"10373",1,310057.279682,2400928.005959,310054.405762,2400903.243015,1,310055.842722,2400915.624487,24.929156,0.11554,HP,"0","0","0",
"926","2","5",H,"10376",1,310018.656386,2400929.505575,310057.279682,2400928.005959,1,310037.968034,2400928.755767,38.652398,1.609604,HV,"0","0","0",
"934","2","5",H,"10432",1,309995.85837,2400924.732807,309981.07917,2400914.536327,1,309988.46877,2400919.634567,17.955304,0.966867,HO,"1","1","0",
"935","2","5",H,"10471",1,309962.40605,2401066.247175,310012.46893,2401047.752839,1,309987.43749,2401057.000007,53.369771,1.924668,HO,"1","0","0",
"936","2","5",H,"10520",1,309990.00189,2401116.502343,310063.783202,2401092.756679,1,310026.892546,2401104.629511,77.508313,1.882166,HV,"1","0","1",
"937","2","5",H,"10600",1,310158.532866,2401123.006151,310159.81149,2401146.751815,1,310159.172178,2401134.878983,23.780064,0.053795,HP,"0","0","0",
"938","2","5",H,"10603",1,310175.623714,2401192.744551,310187.407362,2401201.998279,1,310181.515538,2401197.371415,14.982852,0.905082,HO,"0","0","0",
"941","2","5",H,"10694",1,310093.936322,2401341.503655,310141.345666,2401297.999207,1,310117.640994,2401319.751431,64.34503,2.313269,HO,"0","0","0",
"942","2","5",H,"10701",1,310646.718402,2401346.756199,310648.093378,2401332.249927,1,310647.40589,2401339.503063,14.57129,3.04709,HP,"1","0","0",
"943","2","5",H,"10702",1,310648.093378,2401332.249927,310638.812322,2401322.996199,1,310643.45285,2401327.623063,13.106086,0.786873,HO,"1","0","0",
"944","2","5",H,"10709",1,310594.001602,2401354.745127,310640.187234,2401355.995591,1,310617.094418,2401355.370359,46.202557,1.543728,HV,"1","0","0",
"945","2","5",H,"10710",1,310640.187234,2401355.995591,310646.718402,2401346.756199,1,310643.452818,2401351.375895,11.314704,2.526262,HO,"1","0","0",
"946","2","5",H,"10711",1,310659.780706,2401325.746055,310728.805826,2401363.244231,1,310694.293266,2401344.495143,78.553042,1.073147,HO,"0","0","0",
"947","2","5",H,"10715",1,310643.154754,2401380.133575,310655.87581,2401354.744327,1,310649.515282,2401367.438951,28.397873,2.677113,HO,"1","0","0",
"948","2","5",H,"10716",1,310655.87581,2401354.744327,310661.15565,2401336.251143,1,310658.51573,2401345.497735,19.232123,2.863489,HP,"1","0","0",
"949","2","5",H,"10717",1,310661.15565,2401336.251143,310659.780706,2401325.746055,1,310660.468178,2401330.998599,10.594685,0.130144,HP,"1","0","0",
"950","2","5",H,"10726",1,310627.41597,2401384.061863,310640.187234,2401355.995591,1,310633.801602,2401370.028727,30.835382,2.714556,HO,"1","0","0",
"951","2","5",H,"10795",1,310596.65549,2401425.995687,310623.000066,2401412.755015,1,310609.827778,2401419.375351,29.484777,2.036518,HO,"1","0","0",
"952","2","5",H,"12652",1,309978.218274,2401286.242887,310025.531266,2401296.747911,1,310001.87477,2401291.495399,48.465191,1.352308,HV,"0","0","0",
"953","2","5",H,"12653",1,310025.531266,2401296.747911,310058.406978,2401315.255431,1,310041.969122,2401306.001671,37.727188,1.058062,HO,"0","0","0",
"954","2","5",H,"12654",1,310117.751042,2401141.499335,310137.684706,2401137.459943,1,310127.717874,2401139.479639,20.338821,1.770731,HV,"0","0","0",
"955","2","5",H,"12655",1,310050.624578,2401152.004327,310079.499106,2401144.001895,1,310065.061842,2401148.003111,29.962932,1.841156,HV,"1","0","1",
"956","2","5",H,"12656",1,310079.499106,2401144.001895,310090.800482,2401143.262535,1,310085.149794,2401143.632215,11.325535,1.636125,HV,"0","0","0",
"957","2","5",H,"12691",1,310441.283138,2401392.996263,310444.59853,2401314.632167,1,310442.940834,2401353.814215,78.434198,3.09931,HP,"0","0","0",
"958","2","5",H,"12692",1,310441.283138,2401392.996263,310464.260418,2401388.591463,1,310452.771778,2401390.793863,23.395676,1.760201,HV,"0","0","0",
"959","2","5",H,"12698",1,310207.12445,2401275.752199,310240.000194,2401329.747367,1,310223.562322,2401302.749783,63.216238,0.546912,HO,"1","1","0",
"960","2","5",H,"12699",1,310240.000194,2401329.747367,310286.18557,2401367.999303,1,310263.092882,2401348.873335,59.969155,0.87908,HO,"1","1","0",
"961","2","5",H,"12700",1,310286.18557,2401367.999303,310327.614818,2401385.117255,1,310306.900194,2401376.558279,44.826408,1.178975,HO,"1","1","0",
"962","2","5",H,"12705",1,310407.156162,2401396.750087,310441.283138,2401392.996263,1,310424.21965,2401394.873175,34.332808,1.680352,HV,"0","0","0",
"963","2","5",H,"12706",1,310058.406978,2401315.255431,310109.271938,2401249.193575,1,310083.839458,2401282.224503,83.375134,2.485439,HO,"0","0","0",
"964","2","5",H,"12707",1,310117.751042,2401141.499335,310126.923522,2401175.635559,1,310122.337282,2401158.567447,35.347082,0.262502,HP,"0","0","0",
"967","2","5",H,"12964",1,310125.098242,2401056.430183,310136.216834,2401067.497991,1,310130.657538,2401061.964087,15.688195,0.787687,HO,"0","0","0",
"968","2","5",H,"12965",1,310136.216834,2401067.497991,310141.345666,2401082.004263,1,310138.78125,2401074.751127,15.386255,0.339842,HP,"0","0","0",
"969","2","5",H,"12966",1,310141.345666,2401082.004263,310137.46813,2401099.246119,1,310139.406898,2401090.625191,17.672489,2.920382,HP,"0","0","0",
"970","2","5",H,"12967",1,310137.46813,2401099.246119,310142.720642,2401111.002439,1,310140.094386,2401105.124279,12.876333,0.420175,HO,"0","0","0",
"971","2","5",H,"12968",1,310142.720642,2401111.002439,310158.532866,2401123.006151,1,310150.626754,2401117.004295,19.852343,0.92147,HO,"0","0","0",
"972","2","5",H,"14640",1,310058.406978,2401315.255431,310079.585954,2401330.901959,1,310068.996466,2401323.078695,26.331784,0.934517,HO,"0","0","0",
"998","2","6",H,"10569",1,311148.185699,2401191.489927,311163.998499,2401191.493255,1,311156.092099,2401191.491591,15.8128,1.570586,HV,"1","0","0",
"1025","2","6",H,"10777",1,310913.876547,2401452.243911,310945.404643,2401432.499463,1,310929.640595,2401442.371687,37.200323,2.130294,HO,"0","1","0",
"1026","2","6",H,"10778",1,310945.404643,2401432.499463,310969.219331,2401408.753799,1,310957.311987,2401420.626631,33.630283,2.354743,HO,"0","1","0",
"1034","2","6",H,"12708",1,310940.810723,2401451.743111,310952.152931,2401446.816743,1,310946.481827,2401449.279927,12.365872,1.980551,HO,"0","1","0",
"1035","2","6",H,"12709",1,310952.152931,2401446.816743,310969.452611,2401447.847815,1,310960.802771,2401447.332279,17.330379,1.511266,HV,"0","1","0",
"1036","2","6",H,"12710",1,310969.452611,2401447.847815,310983.086115,2401434.328839,1,310976.269363,2401441.088327,19.199874,2.351977,HO,"1","1","0",
"1037","2","6",H,"12711",1,310983.086115,2401434.328839,310997.750787,2401401.562567,1,310990.418451,2401417.945703,35.898206,2.720775,HO,"1","1","0",
"1038","2","6",H,"12712",1,310997.750787,2401401.562567,311019.862275,2401376.586855,1,311008.806531,2401389.074711,33.357219,2.416948,HO,"1","1","0",
"1039","2","6",H,"12715",1,311103.524067,2401268.785063,311148.185699,2401191.489927,1,311125.854883,2401230.137495,89.270373,2.617652,HO,"1","0","0",
"1063","2","7",H,"10653",0,312879.750084,2401271.504647,312891.321668,2401188.467079,0,312885.535876,2401229.985863,83.839962,3.003131,HP,"0","1","0",
"1064","2","7",H,"10654",1,312777.441764,2401263.854183,312778.472708,2401262.821383,1,312777.957236,2401263.337783,1.459288,2.357094,HO,"0","1","0",
"1065","2","7",H,"10655",1,312778.472708,2401262.821383,312820.86266,2401271.757639,1,312799.667684,2401267.289511,43.321642,1.363028,HV,"0","1","0",
"1066","2","7",H,"10656",1,312820.86266,2401271.757639,312828.863428,2401268.398695,1,312824.863044,2401270.078167,8.677257,1.968278,HO,"0","1","0",
"1067","2","7",H,"10668",1,312837.716932,2401284.249447,312879.750084,2401271.504647,1,312858.733508,2401277.877047,43.922839,1.865194,HV,"0","0","0",
"1068","2","7",H,"10669",1,312830.361764,2401269.864519,312821.091812,2401273.705287,1,312825.726788,2401271.784903,10.034117,1.96359,HO,"0","1","0",
"1069","2","7",H,"10670",1,312821.091812,2401273.705287,312779.274724,2401264.883591,1,312800.183268,2401269.294439,42.737468,1.362886,HV,"0","1","0",
"1070","2","7",H,"10671",1,312779.274724,2401264.883591,312774.462884,2401270.955687,1,312776.868804,2401267.919639,7.747526,2.471472,HO,"0","1","0",
"1071","2","7",H,"10672",1,312774.462884,2401270.955687,312761.28762,2401281.381287,1,312767.875252,2401276.168487,16.801212,2.24021,HO,"1","1","0",
"1072","2","7",H,"10673",1,312761.28762,2401281.381287,312741.009156,2401283.901767,1,312751.148388,2401282.641527,20.434503,1.694456,HV,"1","1","0",
"1073","2","7",H,"10674",1,312741.009156,2401283.901767,312734.740516,2401294.108039,1,312737.874836,2401289.004903,11.977639,2.590801,HO,"1","1","0",
"1077","2","7",H,"10703",1,312529.901092,2401330.506855,312533.642052,2401331.218151,1,312531.771572,2401330.862503,3.807982,1.382902,HV,"1","0","0",
"1078","2","7",H,"10704",1,312533.642052,2401331.218151,312557.24298,2401355.048199,1,312545.442516,2401343.133175,33.539156,0.780568,HO,"1","0","0",
"1079","2","7",H,"10708",1,312694.609348,2401304.523943,312722.448324,2401278.746695,1,312708.528836,2401291.635319,37.940415,2.31776,HO,"1","1","0",
"1080","2","7",H,"10783",1,312574.312612,2401429.997351,312580.720708,2401459.484935,1,312577.51666,2401444.741143,30.17584,0.213988,HP,"1","0","0",
"1081","2","7",H,"10796",1,312429.84378,2401462.008839,312441.311044,2401455.750375,1,312435.577412,2401458.879607,13.06394,2.070384,HO,"1","1","0",
"1082","2","7",H,"10812",1,312440.03242,2401462.006791,312424.68762,2401473.501383,1,312432.36002,2401467.754087,19.172598,2.213713,HO,"1","1","0",
