,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
3492,8,1,H,5558,1.0,306909.296575,2394968.714497,306930.705695,2394949.609921,1.0,306920.001135,2394959.162209,28.693819,2.299373,HO,1,1,1,1,0,0
3513,8,1,H,13702,1.0,306701.356639,2395440.388738,306701.242047,2395454.480514,1.0,306701.299343,2395447.434626,14.092242,3.133461,HP,0,1,0,1,0,0
3514,8,1,H,13703,1.0,306701.242047,2395454.480514,306714.531903,2395473.155042,1.0,306707.886975,2395463.817778,22.920695,0.618507,HO,0,1,0,1,0,0
3709,8,3,H,5329,1.0,308902.312417,2394960.495713,308912.292929,2394952.692417,1.0,308907.302673,2394956.594065,12.66894,2.234374,HO,1,1,0,1,1,0
3796,8,3,H,13848,1.0,308727.373632,2394905.495201,308735.387233,2394941.676577,1.0,308731.380433,2394923.585889,37.058194,0.217965,HP,0,1,0,1,0,0
3919,8,5,H,5300,1.0,310866.781538,2394969.149473,310880.122819,2394956.720161,1.0,310873.452179,2394962.934817,18.233968,2.320821,HO,1,1,0,1,1,0
3939,8,5,H,5767,1.0,310376.782946,2395312.99869,310367.282306,2395334.751618,1.0,310372.032626,2395323.875154,23.737145,2.72981,HO,1,1,0,1,1,0
3954,8,6,H,5290,1.0,310907.125379,2394936.750017,310922.030083,2394920.497697,1.0,310914.577731,2394928.623857,22.051941,2.39942,HO,1,1,0,1,1,0
3958,8,6,H,5324,1.0,310927.184355,2394940.635105,310923.727267,2394944.220161,1.0,310925.455811,2394942.427633,4.98037,2.374364,HO,1,1,0,1,1,0
4108,8,8,H,5946,1.0,313541.595365,2395500.24285,313565.551653,2395501.44797,1.0,313553.573509,2395500.84541,23.986581,1.520534,HV,0,1,0,1,0,0
4129,8,8,H,6124,1.0,313125.155941,2395594.745122,313143.591589,2395603.54877,1.0,313134.373765,2395599.146946,20.429815,1.125283,HO,0,1,0,1,0,0
4249,9,1,H,3603,1.0,306842.674399,2393775.19728,306877.094911,2393790.747744,1.0,306859.884655,2393782.972512,37.770208,1.146464,HO,0,1,0,1,0,0
4375,9,1,H,14074,1.0,306712.698783,2393914.923072,306725.072127,2393920.078592,1.0,306718.885455,2393917.500832,13.404441,1.176008,HO,0,1,0,1,0,0
4610,9,3,H,3717,1.0,308256.966848,2393894.751136,308262.510432,2393875.232992,1.0,308259.73864,2393884.992064,20.290127,2.864858,HP,0,1,0,1,0,0
4632,9,3,H,3903,1.0,308379.656064,2394027.240832,308392.028576,2393993.2872,1.0,308385.84232,2394010.264016,36.137628,2.792152,HO,0,1,0,1,0,0
4652,9,3,H,4038,1.0,308730.12368,2394132.251232,308746.729409,2394086.774272,1.0,308738.426545,2394109.512752,48.413884,2.791489,HO,1,1,1,1,0,0
4658,9,3,H,4072,1.0,308441.6264,2394155.254432,308460.993984,2394162.171328,1.0,308451.310192,2394158.71288,20.565669,1.227777,HV,0,1,0,1,0,0
4740,9,3,H,14143,1.0,308305.415584,2393888.228864,308278.377664,2393874.022464,1.0,308291.896624,2393881.125664,30.542936,1.087016,HO,0,1,0,1,0,0
4742,9,3,H,14145,1.0,308368.771392,2393969.342624,308374.270592,2393939.55504,1.0,308371.520992,2393954.448832,30.290945,2.959034,HP,0,1,0,1,0,0
4745,9,3,H,14148,1.0,308335.432224,2393890.634752,308328.307744,2393863.701952,1.0,308331.869984,2393877.168352,27.85918,0.258605,HP,0,1,0,1,0,0
4751,9,3,H,14172,1.0,308632.963936,2393960.177216,308610.852416,2393953.188576,1.0,308621.908176,2393956.682896,23.189662,1.264668,HV,0,1,0,1,0,0
