Landscape,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH
B,"3",,H,"9871","1",309300.437153,2400062.499814,309267.561313,2399992.252294,"1",309283.999233,2400027.376054,77.55988,0.437721,HO
B,"3",,H,"9893","1",309648.217537,2400081.53575,309656.968641,2400100.99911,"1",309652.593089,2400091.26743,21.340202,0.422537,HO
B,"3",,H,"9894","1",309656.968641,2400100.99911,309673.468353,2400111.998918,"1",309665.218497,2400106.499014,19.830186,0.982794,HO
B,"3",,H,"9895","1",309673.468353,2400111.998918,309698.217889,2400114.74887,"1",309685.843121,2400113.373894,24.901843,1.460139,HV
B,"3",,H,"9896","1",309698.217889,2400114.74887,309710.592705,2400126.999974,"1",309704.405297,2400120.874422,17.413375,0.790422,HO
B,"3",,H,"9897","1",309710.592705,2400126.999974,309728.467393,2400135.24983,"1",309719.530049,2400131.124902,19.68666,1.138389,HO
B,"3",,H,"9907","1",309728.467393,2400135.24983,309743.363713,2400148.30567,"1",309735.915553,2400141.77775,19.807961,0.851147,HO
B,"3",,H,"9931","1",309310.061889,2400116.000166,309381.656865,2400103.749254,"1",309345.859377,2400109.87471,72.635566,1.740269,HV
B,"3",,H,"9932","1",309381.656865,2400103.749254,309396.781729,2400175.495206,"1",309389.219297,2400139.62223,73.322869,0.207769,HP
B,"3",,H,"9933","1",309396.781729,2400175.495206,309432.037729,2400171.630694,"1",309414.409729,2400173.56295,35.467168,1.679973,HV
B,"3",,H,"9934","1",309432.037729,2400171.630694,309437.219201,2400171.061606,"1",309434.628465,2400171.34615,5.21263,1.680189,HV
B,"3",,H,"9943","1",309437.219201,2400171.061606,309449.154497,2400169.74791,"1",309443.186849,2400170.404758,12.007376,1.680423,HV
B,"3",,H,"9944","1",309449.154497,2400169.74791,309480.751649,2400180.747718,"1",309464.953073,2400175.247814,33.457074,1.235791,HV
B,"3",,H,"9945","1",309480.751649,2400180.747718,309570.248801,2400186.247654,"1",309525.500225,2400183.497686,89.665989,1.50942,HV
B,"3",,H,"9946","1",309570.248801,2400186.247654,309560.623969,2400084.49943,"1",309565.436385,2400135.373542,102.202439,0.094314,HP
B,"3",,H,"9947","1",309560.623969,2400084.49943,309560.624161,2400022.501414,"1",309560.624065,2400053.500422,61.998016,3.14159,HP
