field_1,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal
"596","1","5",H,"11472",1,310072.844226,2402413.242888,310080.626626,2402435.256872,1,310076.735426,2402424.24988,23.349116,0.339808,HP,"0","0","0",
"603","1","5",H,"11574",1,310083.720354,2402544.745864,310075.937954,2402535.506408,1,310079.829154,2402540.126136,12.080285,0.700007,HO,"1","0","0",
"604","1","5",H,"11575",1,310075.937954,2402535.506408,310083.844002,2402530.74868,1,310079.890978,2402533.127544,9.227219,2.112526,HO,"1","0","0",
"605","1","5",H,"11576",1,310083.844002,2402530.74868,310086.93773,2402537.252456,1,310085.390866,2402534.000568,7.202101,0.444004,HO,"1","0","0",
"606","1","5",H,"11577",1,310086.93773,2402537.252456,310102.529954,2402521.49492,1,310094.733842,2402529.373688,22.167936,2.361468,HO,"1","0","0",
"611","1","5",H,"12647",1,310252.832802,2402290.611816,310214.729506,2402232.94452,1,310233.781154,2402261.778168,69.118581,0.583891,HO,"1","0","0",
"614","1","5",H,"12673",1,310450.220546,2401860.502504,310452.301474,2401806.35188,1,310451.26101,2401833.427192,54.190593,3.103183,HP,"0","0","0",
"617","1","5",H,"12679",1,310586.563202,2402105.248232,310650.412898,2402105.248232,1,310618.48805,2402105.248232,63.849696,1.570796,HV,"0","0","0",
"973","2","6",H,"10168",1,311430.814083,2400592.412806,311462.561059,2400593.74967,1,311446.687571,2400593.081238,31.775111,1.528711,HV,"1","0","0",
"974","2","6",H,"10193",0,311693.062275,2400611.50071,311678.845059,2400515.004934,0,311685.953667,2400563.252822,97.537501,0.146283,HP,"1","0","0",
"981","2","6",H,"10229",1,311427.261699,2400596.03911,311436.436419,2400673.498118,1,311431.849059,2400634.768614,78.000471,0.117897,HP,"0","0","0",
"984","2","6",H,"10236",1,311414.436867,2400681.748167,311381.437443,2400681.748167,1,311397.937155,2400681.748167,32.999424,1.570796,HV,"1","0","0",
"1044","2","6",H,"12884",1,311512.838083,2400590.188998,311521.781379,2400589.501094,1,311517.309731,2400589.845046,8.969713,1.647564,HV,"0","0","0",
"1045","2","6",H,"12885",1,311521.781379,2400589.501094,311525.906307,2400582.749894,1,311523.843843,2400586.125494,7.91162,2.59313,HO,"0","0","0",
"1046","2","6",H,"12886",0,311525.906307,2400582.749894,311513.531491,2400534.501638,0,311519.718899,2400558.625766,49.809942,0.25107,HP,"0","0","0",
"1047","2","6",H,"14601",1,311616.998499,2400714.500199,311613.904771,2400743.250983,1,311615.451635,2400728.875591,28.916755,3.0344,HP,"0","0","0",
"1360","3","6",H,"9749",1,311616.874755,2399894.243558,311581.125379,2399895.494854,1,311599.000067,2399894.869206,35.771268,1.605784,HV,"1","0","0",
"1361","3","6",H,"9759",1,311627.874595,2399894.243558,311627.998275,2399943.757062,1,311627.936435,2399919.00031,49.513658,0.002498,HP,"1","0","1",
"1362","3","6",H,"9760",1,311627.998275,2399943.757062,311667.748931,2399943.757062,1,311647.873603,2399943.757062,39.750656,1.570796,HV,"1","0","0",
"1364","3","6",H,"10064",1,311600.143843,2400435.41543,311651.227427,2400392.512518,1,311625.685635,2400413.963974,66.709762,2.269372,HO,"1","0","0",
"1366","3","6",H,"10079",1,311308.670531,2400397.903526,311318.189379,2400473.760102,1,311313.429955,2400435.831814,76.451479,0.124832,HP,"1","0","0",
"1367","3","6",H,"10082",1,311397.936931,2400474.005478,311397.476643,2400468.525222,1,311397.706787,2400471.26535,5.499552,0.083794,HP,"1","0","1",
"1368","3","6",H,"10085",1,311341.109411,2400472.993318,311327.132099,2400470.144806,1,311334.120755,2400471.569062,14.264616,1.369754,HV,"1","0","0",
"1369","3","6",H,"10131",1,311274.092995,2400479.50295,311280.967395,2400541.233382,1,311277.530195,2400510.368166,62.112025,0.110905,HP,"1","0","0",
"1370","3","6",H,"12887",1,311513.531491,2400534.501638,311542.406051,2400502.753318,1,311527.968771,2400518.627478,42.914986,2.403563,HO,"0","0","0",
"1379","3","7",H,"9738",1,312410.127492,2399846.239686,312443.126084,2399838.749734,1,312426.626788,2399842.49471,33.837944,1.793993,HV,"1","0","0",
"1380","3","7",H,"9742",1,312060.71674,2399826.990534,312071.937252,2399862.000646,1,312066.326996,2399844.49559,36.764219,0.310151,HP,"1","0","0",
"1381","3","7",H,"9829",1,312285.595876,2400043.250182,312243.65962,2399902.022406,1,312264.627748,2399972.636294,147.322552,0.288648,HP,"1","0","0",
"1382","3","7",H,"9830",1,312073.46778,2400044.22823,312113.062788,2400028.249062,1,312093.265284,2400036.238646,42.697757,1.954372,HO,"1","0","0",
"1383","3","7",H,"9833",1,312196.936356,2400025.251718,312244.345668,2400036.251558,1,312220.641012,2400030.751638,48.668669,1.342812,HV,"1","0","0",
"1384","3","7",H,"9834",1,312244.345668,2400036.251558,312272.660484,2400048.851462,1,312258.503076,2400042.55151,30.991715,1.152114,HO,"1","0","0",
"1385","3","7",H,"9915",1,312815.019748,2400157.589158,312825.903652,2400078.423046,1,312820.4617,2400118.006102,79.910779,3.004967,HP,"1","0","0",
"1386","3","7",H,"9916",1,312825.903652,2400078.423046,312823.063076,2400078.654694,1,312824.483364,2400078.53887,2.850006,1.652166,HV,"1","0","0",
"1387","3","7",H,"9928",1,311951.385987,2400123.473382,311968.81402,2400173.99655,1,311960.100004,2400148.734966,53.444615,0.33217,HP,"1","0","0",
"1388","3","7",H,"9938",1,312614.654404,2400180.500326,312614.65418,2400145.109158,1,312614.654292,2400162.804742,35.391168,6e-06,HP,"1","0","0",
"1389","3","7",H,"9951",1,312778.469252,2400197.00007,312783.625412,2400161.498054,1,312781.047332,2400179.249062,35.874491,2.997365,HP,"1","0","0",
"1390","3","7",H,"9962",1,312027.374212,2400058.251142,312076.529316,2400215.492038,1,312051.951764,2400136.87159,164.745026,0.302985,HP,"0","0","0",
"1391","3","7",H,"9976",1,311984.414084,2400221.400486,312002.060068,2400223.247558,1,311993.237076,2400222.324022,17.742391,1.466502,HV,"1","0","0",
"1392","3","7",H,"9977",1,312002.060068,2400223.247558,312033.781636,2400240.751878,1,312017.920852,2400231.999718,36.230638,1.066564,HO,"1","0","0",
"1393","3","7",H,"9979",1,311989.43866,2400229.50471,312006.749572,2400232.749414,1,311998.094116,2400231.127062,17.612376,1.385509,HV,"1","0","0",
"1395","3","7",H,"9992",1,312796.22026,2400315.248006,312802.531332,2400276.00647,1,312799.375796,2400295.627238,39.745789,2.982132,HP,"0","0","0",
"1401","3","7",H,"12924",1,312146.282692,2399861.754694,312160.499492,2399900.005222,1,312153.391092,2399880.879958,40.807111,0.355853,HO,"0","0","0",
"1402","3","7",H,"12925",1,312185.812868,2399893.748774,312193.84266,2399911.004998,1,312189.827764,2399902.376886,19.032993,0.435527,HO,"1","0","0",
"1403","3","7",H,"12926",1,312157.405764,2399589.246245,312196.646436,2399673.507878,1,312177.0261,2399631.377062,92.95081,0.435833,HO,"0","0","0",
"1404","3","7",H,"12927",1,312269.856068,2400036.244102,312273.000164,2400028.24887,1,312271.428116,2400032.246486,8.591221,2.766922,HO,"1","0","0",
